loanid,property,occupancy,purpose,documentation,ratetype,isnegam,lienposition,originalappraisalamount,ltv,jrltv,combinedltv,originalamount,srbalance,originalterm,amorterm,fico,rate,originationdate,state,asofdate,loanage,reportedloanstatus,currentamount,modified,priorchargeoff,liquidationdate,defdate,lgd,yrm,origym,region_code,updatedcltv,updatedcltv_missing,fico_missing,singlehome,occupied,timetoliquidation,predlgd
"Modified_187492","C","P","P","C1","F","False",1,499000,100,0,100,499000,0,454,360,625,4,200503,"PR",201604,133,3,457397.22,"True",0,201708,201312,44.249722,2017m8,2005m3,"PR",119.6848,0,0,0,1,44,47.2203
"802920","C","P","C","C1","F","False",1,157000,85,0,85,133450,0,166,360,659,5.75,200503,"PR",201901,166,3,104650.18,"False",-4000.1799,201910,201702,0,2019m10,2005m3,"PR",82.08348,0,0,0,1,32,31.18256
"Modified_186689","S","P","P","C1","F","False",1,128800.02,79.272728,0,79.272728,102103.29,0,559,480,614,7.125,200503,"PR",201607,136,3,101785.95,"True",0,201706,201407,45.964104,2017m6,2005m3,"PR",107.201,0,0,1,1,35,36.70531
"186344","S","P","P","C1","F","False",1,111000,45.045044,0,45.045044,50000,0,360,360,557,7.5,200503,"PR",201707,148,3,44633.73,"False",0,201809,201310,0,2018m9,2005m3,"PR",53.46427,0,0,1,1,59,26.88183
"187685","S","P","C","C1","F","False",1,382000,91.884819,0,91.884819,351000,0,361,361,546,7.5,200503,"PR",201803,156,3,289278.63,"False",-141260.63,201901,201609,48.146877,2019m1,2005m3,"PR",93.37705,0,0,1,1,28,29.98538
"186279","S","P","P","C1","F","False",1,95000,80,0,80,76000,0,361,361,598,7,200503,"PR",201607,136,3,65133.66,"False",0,201704,201310,0,2017m4,2005m3,"PR",88.80272,0,0,1,1,42,32.95462
"185082","C","P","P","C1","F","False",1,166000,100,0,100,166000,0,361,361,701,6,200503,"PR",201801,154,3,135860.58,"False",0,201810,201601,61.161552,2018m10,2005m3,"PR",106.2372,0,0,0,1,33,39.34959
"185586","S","P","P","C1","F","False",1,217000,70.046082,0,70.046082,152000,0,361,361,596,7,200503,"PR",201407,112,3,143947.89,"False",0,201601,201310,13.162402,2016m1,2005m3,"PR",82.30985,0,0,1,1,27,26.07082
"Modified_188565","S","P","P","C1","F","False",1,154557.73,72.920357,0,72.920357,112704.05,0,536,535,624,6.75,200503,"PR",201803,156,3,110251.18,"True",0,201811,201702,16.55418,2018m11,2005m3,"PR",90.44743,0,0,1,1,21,26.80555
"172452","C","P","P","C1","F","False",1,109999.99,96.36364,0,96.36364,106000,0,361,361,746,5.875,200503,"PR",201805,158,3,85301.203,"False",-14663.2,201903,201609,33.177959,2019m3,2005m3,"PR",94.67963,0,0,0,1,30,34.63916
"802665","S","P","C","C1","F","False",1,150740.75,81.860466,0,81.860466,123397.08,0,481,481,621,6.375,200504,"PR",201610,138,3,122626.75,"False",0,201901,201501,66.532585,2019m1,2005m4,"PR",99.85264,0,0,1,1,48,38.45488
"Modified_187124","C","S","P","C1","F","False",1,340000,87.941177,0,87.941177,299000,0,442,360,720,5,200504,"PR",201701,141,3,270390.34,"True",0,201810,201312,53.181007,2018m10,2005m4,"PR",102.7593,0,0,0,0,58,50.10456
"179851","S","P","P","C1","F","False",1,71000,73.521126,0,73.521126,52200,0,364,364,590,6.25,200504,"PR",201605,133,3,44728.672,"False",0,201912,201404,23.986113,2019m12,2005m4,"PR",83.97387,0,0,1,1,68,39.66032
"188652","S","P","C","C1","F","False",1,262000,80,0,80,209600,0,361,361,650,6.625,200504,"PR",201801,153,3,181379.81,"False",-25893.92,201902,201411,36.045803,2019m2,2005m4,"PR",84.55529,0,0,1,1,51,34.43879
"806006","C","P","P","C1","F","False",1,350000,88.714287,0,88.714287,310500,0,181,360,0,5.9499998,200504,"PR",201801,153,3,310500,"False",0,201905,201505,49.11433,2019m5,2005m4,"PR",103.429,0,1,0,1,48,43.21102
"185135","S","P","P","C1","F","False",1,273000,99.816849,0,99.816849,272500,0,361,361,595,5.875,200504,"PR",201603,131,3,238555.94,"False",0,201707,201310,16.161827,2017m7,2005m4,"PR",115.7451,0,0,1,1,45,42.66437
"801336","S","P","P","C1","F","False",1,141734.88,85,0,85,120474.65,0,577,577,734,3,200504,"PR",201602,130,3,120474.65,"False",0,201701,201409,79.248207,2017m1,2005m4,"PR",108.1791,0,0,1,1,28,34.7953
"Modified_189940","S","P","P","C1","F","False",1,134000,96.604477,0,96.604477,129450,0,553,480,753,5.875,200504,"PR",201611,139,3,121875.66,"True",0,201706,201311,29.43574,2017m6,2005m4,"PR",122.8165,0,0,1,1,43,44.3257
"196046","S","P","P","C1","F","False",1,162000,74.295677,0,74.295677,120359,0,361,361,502,6.75,200504,"PR",201510,126,3,107672.11,"False",0,201604,201310,29.415232,2016m4,2005m4,"PR",81.79198,0,0,1,1,30,26.85732
"Modified_185424","S","P","P","C1","F","False",1,199308.28,80,0,80,159446.63,0,557,480,572,7.375,200504,"PR",201712,152,3,148380.05,"True",-50204.039,201908,201508,64.999718,2019m8,2005m4,"PR",86.82614,0,0,1,1,48,34.22191
"Modified_186755","S","P","P","C1","F","False",1,223000,87.802689,0,87.802689,195800,0,369,300,649,5.5,200504,"PR",201501,117,3,184560.34,"True",0,201702,201310,14.932785,2017m2,2005m4,"PR",104.8384,0,0,1,1,40,37.5289
"Modified_189312","C","S","P","C1","F","False",1,345000,91.304344,0,91.304344,315000,0,442,360,720,5,200504,"PR",201608,136,3,284011.09,"True",0,201807,201401,52.114513,2018m7,2005m4,"PR",107.9172,0,0,0,0,54,50.50755
"Modified_185016","S","P","P","C1","F","False",1,182887.63,99.723755,0,99.723755,182382.41,0,548,480,658,6,200504,"PR",201802,154,3,166180.16,"True",-30140.445,201907,201611,28.512669,2019m7,2005m4,"PR",104.8861,0,0,1,1,32,34.99831
"188347","S","P","P","C1","F","False",1,292500,100,0,100,292500,0,361,361,611,6,200504,"PR",201508,124,3,259043.59,"False",0,201608,201310,35.145821,2016m8,2005m4,"PR",107.0753,0,0,1,1,34,36.34623
"183461","S","P","P","C1","F","False",1,122500,79.020409,0,79.020409,96800,0,181,181,739,6.5,200504,"PR",201902,166,3,78463.617,"False",0,201911,201802,10.295638,2019m11,2005m4,"PR",81.80431,0,0,1,1,21,23.99696
"802000","S","P","P","C1","F","False",1,547247.88,90,0,90,492523.06,0,587,587,726,4,200504,"PR",201702,142,3,488884.53,"False",0,201810,201409,86.70443,2018m10,2005m4,"PR",115.4333,0,0,1,1,49,43.83611
"Modified_186825","C","S","P","C1","F","False",1,245000.02,95.510201,0,95.510201,234000,0,442,360,720,5,200504,"PR",201508,124,3,212054.92,"True",0,201810,201401,50.012516,2018m10,2005m4,"PR",111.8385,0,0,0,0,57,52.73658
"194092","S","P","P","C1","F","False",1,145000,79.927589,0,79.927589,115895,0,361,361,635,6.5,200505,"PR",201509,124,3,102833.59,"False",0,201608,201310,24.148724,2016m8,2005m5,"PR",85.35289,0,0,1,1,34,29.28749
"187089","S","S","P","C1","F","False",1,115000,80,0,80,92000,0,361,361,650,6.125,200505,"PR",201603,130,3,77735.789,"False",0,201703,201506,42.110592,2017m3,2005m5,"PR",84.83807,0,0,1,0,21,28.91131
"Modified_184623","S","P","P","C1","F","False",1,128000,87.890625,0,87.890625,112500,0,552,480,746,5.5,200505,"PR",201504,119,3,105323.74,"True",0,201608,201310,62.021152,2016m8,2005m5,"PR",99.03017,0,0,1,1,34,33.73194
"Modified_191089","S","P","C","C1","F","False",1,169000,90,0,90,152100,0,443,360,765,5,200505,"PR",201508,123,3,141624.59,"True",0,201808,201310,34.333019,2018m8,2005m5,"PR",109.8787,0,0,1,1,58,44.89549
"Modified_191604","C","P","P","C1","F","False",1,105000,97,0,97,101850,0,545,480,602,6.125,200505,"PR",201904,167,3,94758.852,"True",-23314.631,202002,201310,45.123859,2020m2,2005m5,"PR",120.2422,0,0,0,1,76,57.58584
"191866","C","P","P","C1","F","False",1,85000,78.117645,0,78.117645,66400,0,361,361,647,6.25,200505,"PR",201602,129,3,57624.75,"False",0,201912,201406,21.908554,2019m12,2005m5,"PR",89.95294,0,0,0,1,66,44.56068
"Modified_191177","S","P","P","C1","F","False",1,330000,99.818184,0,99.818184,329400,0,546,480,582,5.875,200505,"PR",201607,134,3,302380.75,"True",0,201701,201310,54.692635,2017m1,2005m5,"PR",116.0842,0,0,1,1,39,40.86498
"Modified_185711","C","P","P","C1","F","False",1,229999.98,97.480438,0,97.480438,224205,0,540,480,681,5.75,200505,"PR",201605,132,3,219337.16,"True",0,201709,201310,33.891659,2017m9,2005m5,"PR",121.1151,0,0,0,1,47,48.63985
"192819","S","P","P","C1","F","False",1,90000,85,0,85,76500,0,361,361,745,6.5,200505,"PR",201702,141,3,64984.922,"False",0,201810,201508,61.529537,2018m10,2005m5,"PR",92.87266,0,0,1,1,38,33.0041
"802006","S","P","P","C1","F","False",1,228000,100,0,100,228000,0,360,360,727,6.125,200505,"PR",201711,150,3,192247.22,"False",-28672.221,201903,201506,16.77383,2019m3,2005m5,"PR",102.0107,0,0,1,1,45,38.20137
"187351","S","P","P","C1","F","False",1,795000,100,0,100,795000,0,361,361,690,5.75,200505,"PR",201508,123,3,684799.56,"False",0,201604,201404,53.270916,2016m4,2005m5,"PR",105.5183,0,0,1,1,24,32.65762
"186871","C","P","P","C1","F","False",1,228000,100,0,100,228000,0,361,361,674,6,200505,"PR",201609,136,3,194753.91,"False",0,201805,201408,43.517998,2018m5,2005m5,"PR",108.7475,0,0,0,1,45,43.98447
"Modified_193523","S","P","P","C1","F","False",1,167508.47,77.069283,0,77.069283,129097.58,0,559,480,613,5.5,200505,"PR",201505,120,3,129097.58,"True",0,201604,201311,37.449966,2016m4,2005m5,"PR",94.40883,0,0,1,1,29,30.63892
"Modified_191821","S","P","P","C1","F","False",1,97000,96.896904,0,96.896904,93990,0,420,360,476,6.5,200505,"PR",201402,105,3,93473.906,"True",0,201407,201310,26.053261,2014m7,2005m5,"PR",111.5303,0,0,1,1,9,29.83731
"Modified_190799","C","P","P","C1","F","False",1,204928.92,78.596489,0,78.596489,161066.94,0,547,459,645,6.5,200505,"PR",201609,136,3,161066.94,"True",0,201708,201310,65.852127,2017m8,2005m5,"PR",101.6894,0,0,0,1,46,42.0092
"191025","S","P","C","C1","F","False",1,110000,54.545456,0,54.545456,60000,0,241,241,616,8.9499998,200505,"PR",201508,123,3,47012.969,"False",0,201808,201311,0,2018m8,2005m5,"PR",56.0385,0,0,1,1,57,27.0818
"Modified_189762","S","P","P","C1","F","False",1,98000,98.898979,0,98.898979,96921,0,536,444,680,4,200505,"PR",201609,136,3,96260.844,"True",0,201804,201310,16.891603,2018m4,2005m5,"PR",122.6348,0,0,1,1,54,47.76756
"Modified_194114","S","P","P","C1","F","False",1,219273.16,80,0,80,175418.52,0,443,360,694,6.5,200506,"PR",201704,142,3,175418.52,"True",0,201803,201606,37.29253,2018m3,2005m6,"PR",97.53588,0,0,1,1,21,29.10895
"803582","S","P","P","C1","F","False",1,260000,80,0,80,208000,0,360,360,703,6.25,200506,"PR",201809,159,3,200012.02,"False",-43589.168,201908,201603,15.005103,2019m8,2005m6,"PR",88.89788,0,0,1,1,41,32.66729
"196005","S","P","P","C1","F","False",1,117000,79.242737,0,79.242737,92714,0,361,361,638,6.375,200506,"PR",201403,105,3,84390.273,"False",0,201601,201310,22.976582,2016m1,2005m6,"PR",88.27524,0,0,1,1,27,28.00927
"194530","C","P","P","C1","F","False",1,124000,79.927422,0,79.927422,99110,0,360,360,718,6.5,200506,"PR",201605,131,3,87493.289,"False",0,201701,201312,0,2017m1,2005m6,"PR",88.97861,0,0,0,1,37,35.01445
"Modified_193952","S","P","P","C1","F","False",1,210309.25,79.503105,0,79.503105,167202.39,0,524,444,565,6.75,200506,"PR",201805,155,3,161165.17,"True",-46910.172,201907,201507,69.619499,2019m7,2005m6,"PR",87.64845,0,0,1,1,48,34.48912
"Modified_196349","S","P","P","C1","F","False",1,107042.88,79.12088,0,79.12088,84693.273,0,443,360,679,5,200506,"PR",201603,129,3,84693.273,"True",-303.26999,201906,201310,29.58503,2019m6,2005m6,"PR",89.57585,0,0,1,1,68,41.48069
"Modified_191897","C","P","P","C1","F","False",1,150000,100,0,100,150000,0,531,437,693,5.75,200506,"PR",201505,119,3,144339.38,"True",0,201603,201310,65.359161,2016m3,2005m6,"PR",119.2395,0,0,0,1,29,42.30165
"807594","C","P","P","C1","F","False",1,425000.03,92.235291,0,92.235291,392000,0,361,361,734,6.5,200506,"PR",201705,143,3,325377.91,"False",0,201807,201608,20.092636,2018m7,2005m6,"PR",99.44471,0,0,0,1,23,33.95974
"Modified_191203","S","P","C","C1","F","False",1,216100.38,90,0,90,194490.34,0,549,457,481,7,200506,"PR",201507,121,3,194490.34,"True",0,201607,201310,35.729279,2016m7,2005m6,"PR",107.076,0,0,1,1,33,36.02816
"192584","C","P","C","C1","F","False",1,825000,90,0,90,742500,0,361,361,590,5.75,200506,"PR",201407,109,3,677123.06,"False",0,201507,201310,22.466078,2015m7,2005m6,"PR",96.24498,0,0,0,1,21,32.28345
"193362","S","P","P","C1","F","False",1,127000,80,0,80,101600,0,361,361,717,6.125,200506,"PR",201603,129,3,89244.969,"False",0,201803,201310,27.165676,2018m3,2005m6,"PR",85.67506,0,0,1,1,53,35.43918
"Modified_188688","S","S","P","C1","F","False",1,156000,80,0,80,124800,0,363,277,604,8.125,200506,"PR",201405,107,3,113314.43,"True",0,201604,201310,47.049614,2016m4,2005m6,"PR",88.57098,0,0,1,0,30,32.9887
"806264","C","P","P","C1","F","False",1,140000,90,0,90,126000,0,361,361,706,4.9499998,200506,"PR",201612,138,3,104131.8,"False",0,201812,201505,42.380714,2018m12,2005m6,"PR",90.91409,0,0,0,1,43,37.55296
"806262","C","P","P","C1","F","False",1,772000,84.81736,0,84.81736,654790,0,361,361,742,5.9499998,200506,"PR",201812,162,3,542684.88,"False",-384540.88,201907,201512,63.146198,2019m7,2005m6,"PR",80.40107,0,0,0,1,43,34.13675
"193812","C","P","P","C1","F","False",1,248000,100,0,100,248000,0,361,361,740,6.125,200506,"PR",201712,150,3,248000,"False",0,201808,201310,48.588711,2018m8,2005m6,"PR",130.5152,0,0,0,1,58,55.19532
"Modified_191259","S","P","P","C1","F","False",1,147000,85,0,85,124950,0,432,360,661,5,200506,"PR",201504,118,3,110960.37,"True",0,201604,201310,50.432423,2016m4,2005m6,"PR",92.04102,0,0,1,1,30,30.18776
"Modified_192366","C","P","P","C1","F","False",1,340000,97.058823,0,97.058823,330000,0,554,480,672,5,200506,"PR",201405,107,3,304584.31,"True",0,201511,201310,40.902962,2015m11,2005m6,"PR",106.9829,0,0,0,1,25,37.0458
"Modified_194649","S","P","P","C1","F","False",1,111000,94.37838,0,94.37838,104760,0,444,360,664,5,200507,"PR",201510,123,3,93283.211,"True",0,201604,201404,27.103483,2016m4,2005m7,"PR",102.1951,0,0,1,1,24,31.57774
"193601","C","S","P","C1","F","False",1,670000,82.410446,0,82.410446,552150,0,241,360,774,5.625,200507,"PR",201704,141,3,343201.91,"False",0,201804,201704,25.69945,2018m4,2005m7,"PR",63.48677,0,0,0,0,12,22.70281
"Modified_192891","S","P","C","C1","F","False",1,341500.28,90,0,90,307350.25,0,361,292,714,4.5,200507,"PR",201511,124,3,307350.25,"True",0,201606,201310,61.444557,2016m6,2005m7,"PR",106.0546,0,0,1,1,32,35.37802
"194750","S","P","P","C1","F","False",1,425000,92.941177,0,92.941177,395000,0,361,361,748,5.75,200507,"PR",201802,151,3,332643.59,"False",0,201809,201501,36.117634,2018m9,2005m7,"PR",102.3666,0,0,1,1,44,37.99874
"Modified_315557","C","P","P","C1","F","False",1,140000,100,0,100,140000,0,477,360,650,5.5,200507,"PR",201812,161,3,122874.41,"True",-34940.078,201908,201709,47.10046,2019m8,2005m7,"PR",101.1488,0,0,0,1,23,34.51347
"802413","C","P","P","C1","F","False",1,198567.14,76.646706,0,76.646706,152195.17,0,481,481,678,6.125,200507,"PR",201604,129,3,152195.17,"False",0,201702,201409,30.352474,2017m2,2005m7,"PR",95.94163,0,0,0,1,29,34.73098
"Modified_193617","C","S","P","C1","F","False",1,315000,80.14286,0,80.14286,252450,0,545,480,671,5.625,200507,"PR",201705,142,3,231862.47,"True",0,201808,201310,28.836922,2018m8,2005m7,"PR",95.80749,0,0,0,0,58,47.84555
"Modified_194961","S","P","C","C1","F","False",1,147000,90,0,90,132300,0,420,360,643,5.5,200507,"PR",201903,164,3,117548.83,"True",-7703.8301,202002,201405,8.9739981,2020m2,2005m7,"PR",105.7659,0,0,1,1,69,47.05991
"802677","S","I","C","C1","F","False",1,164258.88,85,0,85,139620.05,0,481,481,350,6.25,200507,"PR",201701,138,3,139620.05,"False",0,201811,201412,82.094261,2018m11,2005m7,"PR",106.015,0,0,1,0,47,44.06762
"Modified_189511","S","P","P","C1","F","False",1,81759.07,86.419754,0,86.419754,70655.992,0,559,480,706,5.5,200507,"PR",201603,128,3,70165.391,"True",0,201809,201311,13.061996,2018m9,2005m7,"PR",112.2419,0,0,1,1,58,45.66342
"194462","S","S","P","C1","F","False",1,207000,69.565216,0,69.565216,144000,0,361,361,606,6,200507,"PR",201502,115,3,126532.8,"False",0,201610,201310,13.065388,2016m10,2005m7,"PR",74.73275,0,0,1,0,36,30.40153
"194970","S","P","P","C1","F","False",1,148000,80,0,80,118400,0,361,361,621,6,200507,"PR",201804,153,3,96438.141,"False",0,202002,201611,62.783375,2020m2,2005m7,"PR",86.18498,0,0,1,1,39,31.1492
"Modified_195606","C","P","P","C1","F","False",1,185381.7,79.452057,0,79.452057,147289.58,0,525,524,657,6.25,200507,"PR",201607,132,3,146280.88,"True",-43487.219,201901,201409,55.564941,2019m1,2005m7,"PR",95.70893,0,0,0,1,52,41.97542
"806037","C","P","R","C1","F","False",1,153000,80,0,80,122400,0,301,301,702,5.25,200507,"PR",201804,153,3,84469.078,"False",0,201906,201705,1.7451119,2019m6,2005m7,"PR",62.33395,0,0,0,1,25,22.53709
"Modified_197746","S","P","P","C1","F","False",1,156634.47,80,0,80,125307.57,0,543,480,509,6.125,200508,"PR",201601,125,3,124843.99,"True",0,201610,201310,30.312231,2016m10,2005m8,"PR",97.17931,0,0,1,1,36,33.76702
"Modified_194431","C","P","P","C1","F","False",1,268953.63,75.102043,0,75.102043,201989.66,0,446,340,497,7,200508,"PR",201608,132,3,200524,"True",0,201809,201504,67.58493,2018m9,2005m8,"PR",97.24612,0,0,0,1,41,38.97403
"198637","S","S","C","C1","F","False",1,330000,95,0,95,313500,0,361,361,654,6.25,200508,"PR",201608,132,3,271558.16,"False",0,201705,201410,46.604382,2017m5,2005m8,"PR",106.974,0,0,1,0,31,39.28704
"Modified_195847","S","P","P","C1","F","False",1,151152.33,77.777779,0,77.777779,117562.92,0,438,360,683,7,200508,"PR",201712,148,3,114628.64,"True",-17238.09,201910,201310,42.365437,2019m10,2005m8,"PR",91.61227,0,0,1,1,72,43.41548
"800431","S","P","P","C1","F","False",1,213726.92,75,0,75,160295.19,0,442,442,603,4.5,200508,"PR",201508,120,3,160295.19,"False",0,201607,201409,25.137997,2016m7,2005m8,"PR",88.74511,0,0,1,1,22,26.57064
"196972","S","P","P","C1","F","False",1,460000,99.978264,0,99.978264,459900,0,361,361,786,5.875,200508,"PR",201605,129,3,409908.28,"False",0,201703,201310,48.768959,2017m3,2005m8,"PR",110.7209,0,0,1,1,41,39.75871
"193974","S","P","P","C1","F","False",1,290000,71.724136,0,71.724136,208000,0,361,361,600,6.5,200508,"PR",201604,128,3,185343.34,"False",0,201701,201310,23.655018,2017m1,2005m8,"PR",80.15771,0,0,1,1,39,29.19063
"197256","S","P","C","C1","F","False",1,174000,72.413795,0,72.413795,126000,0,361,361,681,5.5,200508,"PR",201611,135,3,107120.99,"False",-1142.5746,201903,201310,28.790958,2019m3,2005m8,"PR",73.73595,0,0,1,1,65,35.37871
"198220","S","P","P","C1","F","False",1,125000,80,0,80,100000,0,361,361,662,6.25,200508,"PR",201504,116,3,89886.461,"False",0,201511,201310,10.99832,2015m11,2005m8,"PR",85.409,0,0,1,1,25,26.44136
"800432","S","P","C","C1","F","False",1,191957.09,70.949722,0,70.949722,136193.02,0,481,481,638,6.5,200508,"PR",201611,135,3,135495.89,"False",0,201811,201507,64.57457,2018m11,2005m8,"PR",87.79819,0,0,1,1,40,31.99168
"Modified_196846","S","P","P","C1","F","False",1,683257.81,80,15.199997,95.199997,546606.25,0,492,360,528,4,200508,"PR",201812,160,3,546606.25,"True",-290115.75,201907,201407,57.92218,2019m7,2005m8,"PR",108.2934,0,0,1,1,60,45.01688
"198916","S","P","C","C1","F","False",1,660000,89.696968,0,89.696968,592000,0,361,361,654,5.5,200508,"PR",201511,123,3,503819.69,"False",0,201611,201410,38.469913,2016m11,2005m8,"PR",94.60751,0,0,1,1,25,29.43042
"202244","S","P","P","C1","F","False",1,186000,87.017738,0,87.017738,161853,0,361,361,763,6.5,200508,"PR",201601,125,3,141103.17,"False",0,201809,201408,14.955724,2018m9,2005m8,"PR",98.94803,0,0,1,1,49,38.47919
"802025","S","P","C","C1","F","False",1,83126.352,70.512817,0,70.512817,58614.73,0,481,481,644,7.9499998,200508,"PR",201604,128,3,58614.73,"False",0,201904,201409,60.760715,2019m4,2005m8,"PR",82.6983,0,0,1,1,55,35.10841
"Modified_198782","S","P","P","C1","F","False",1,150000,80.264,0,80.264,120396,0,533,480,493,6.125,200508,"PR",201807,155,3,114674.6,"True",0,202001,201606,34.597549,2020m1,2005m8,"PR",100.6316,0,0,1,1,43,37.11668
"802034","S","P","C","C1","F","False",1,169359.77,88.343559,0,88.343559,149618.44,0,579,579,657,4.75,200508,"PR",201902,162,3,146669.34,"False",0,201911,201409,7.9562297,2019m11,2005m8,"PR",108.9972,0,0,1,1,62,45.88208
"Modified_199548","S","P","P","C1","F","False",1,129108.25,80,0,80,103286.6,0,529,440,567,5,200508,"PR",201602,126,3,102469.51,"True",0,201701,201310,31.686499,2017m1,2005m8,"PR",99.54214,0,0,1,1,39,35.48962
"194914","S","P","C","C1","F","False",1,775000,80,0,80,620000,0,181,181,710,5.75,200508,"PR",201809,157,3,510716.97,"False",-90497.047,201910,201604,33.426926,2019m10,2005m8,"PR",79.60748,0,0,1,1,42,29.96662
"201040","S","P","P","C1","F","False",1,93000,102,0,102,94860,0,361,361,658,6.5,200509,"PR",201706,141,3,79250.992,"False",0,202001,201609,59.621952,2020m1,2005m9,"PR",111.8644,0,0,1,1,40,39.81202
"Modified_802048","S","P","C","C1","F","False",1,111055.66,77.59259,2.1974106,79.790001,86170.961,0,481,365,636,5.5,200509,"PR",201902,161,3,86170.961,"True",0,202002,201802,18.766136,2020m2,2005m9,"PR",104.9591,0,0,1,1,24,32.47594
"Modified_203200","S","S","P","C1","F","False",1,144000,85,0,85,122400,0,364,360,517,6.5,200509,"PR",201501,112,3,109412.9,"True",0,201606,201311,26.881657,2016m6,2005m9,"PR",89.04724,0,0,1,0,31,33.46172
"Modified_199094","S","P","C","C1","F","False",1,159836.31,85,0,85,135860.86,0,530,444,521,4.5,200509,"PR",201509,120,3,135860.86,"True",0,201801,201310,59.516773,2018m1,2005m9,"PR",97.43366,0,0,1,1,51,38.62362
"Modified_202799","S","P","P","C1","F","False",1,145000,80,0,80,116000,0,363,277,473,6.375,200509,"PR",201703,138,3,106959.49,"True",0,201901,201310,53.253326,2019m1,2005m9,"PR",88.9837,0,0,1,1,63,39.69696
"Modified_196566","S","P","C","C1","F","False",1,350000,90,0,90,315000,0,544,480,723,5.875,200509,"PR",201707,142,3,311506.66,"True",-138266.66,201903,201310,48.63673,2019m3,2005m9,"PR",106.3078,0,0,1,1,65,45.96297
"199006","S","P","P","C1","F","False",1,137000,77.66423,0,77.66423,106400,0,361,361,747,6.375,200509,"PR",201507,118,3,88409.922,"False",0,201512,201403,32.13327,2015m12,2005m9,"PR",77.85499,0,0,1,1,21,22.71363
"193289","S","P","P","C1","F","False",1,223800,98.302055,0,98.302055,220000,0,361,361,612,6,200509,"PR",201609,132,3,195517.91,"False",0,201703,201310,42.715782,2017m3,2005m9,"PR",108.2529,0,0,1,1,41,38.95671
"Modified_199646","S","S","C","C1","F","False",1,179000,90,0,90,161100,0,437,360,753,5,200509,"PR",201507,118,3,148876.06,"True",0,201808,201310,42.905487,2018m8,2005m9,"PR",107.666,0,0,1,0,58,48.10501
"Modified_197994","S","P","P","C1","F","False",1,453200,95.060677,0,95.060677,430815,0,531,447,671,4,200509,"PR",201612,135,3,423526.66,"True",0,201803,201310,48.055061,2018m3,2005m9,"PR",113.0085,0,0,1,1,53,44.32121
"Modified_197749","S","S","C","C1","F","False",1,132000,80,0,80,105600,0,551,480,654,6.25,200509,"PR",201605,128,3,98415.039,"True",-2865.3501,202003,201503,71.906006,2020m3,2005m9,"PR",98.27946,0,0,1,0,60,45.69136
"Modified_204132","S","P","P","C1","F","False",1,97999.094,99.166664,0,99.166664,97182.43,0,403,402,0,7,200509,"PR",201311,98,3,97182.43,"True",0,201405,201310,55.752876,2014m5,2005m9,"PR",110.3065,0,1,1,1,7,28.8031
"Modified_203201","S","P","C","C1","F","False",1,140000,80,0,80,112000,0,364,268,517,4.5,200509,"PR",201504,115,3,105423.49,"True",0,201810,201405,28.857895,2018m10,2005m9,"PR",95.62523,0,0,1,1,53,38.6725
"Modified_203684","S","P","P","C1","F","False",1,96000,111.7125,0,111.7125,107244,0,531,480,492,6.125,200509,"PR",201609,132,3,102823.04,"True",-21343.039,201904,201501,62.55703,2019m4,2005m9,"PR",125.2737,0,0,1,1,51,47.67026
"Modified_202814","C","P","P","C1","F","False",1,117000,78.290596,0,78.290596,91600,0,361,248,566,5.5,200509,"PR",201801,148,3,77033.383,"True",-3113.3799,201909,201605,54.978504,2019m9,2005m9,"PR",76.25555,0,0,0,1,40,31.83487
"203656","S","P","P","C1","F","False",1,337000,84.919289,0,84.919289,286178,0,361,361,620,6.25,200509,"PR",201603,126,3,257058.19,"False",0,201609,201310,33.089005,2016m9,2005m9,"PR",91.26839,0,0,1,1,35,31.528
"198736","C","P","P","C1","F","False",1,113000,77.876106,0,77.876106,88000,0,360,360,703,6.125,200509,"PR",201802,149,3,82471.609,"False",0,201903,201310,64.373451,2019m3,2005m9,"PR",87.175,0,0,0,1,65,43.33973
"198580","S","P","P","C1","F","False",1,165000,96.36364,0,96.36364,159000,0,361,361,678,6.25,200509,"PR",201606,129,3,133373.75,"False",0,201703,201603,31.770121,2017m3,2005m9,"PR",100.1612,0,0,1,1,12,27.09768
"Modified_194288","S","S","P","C1","F","False",1,260363.06,76.82692,0,76.82692,200028.92,0,537,480,641,6.25,200509,"PR",201506,117,3,199914.33,"True",0,201603,201310,24.967695,2016m3,2005m9,"PR",94.37065,0,0,1,0,29,34.55504
"199136","S","P","C","C1","F","False",1,358000,90,0,90,322200,0,361,361,613,6.125,200509,"PR",201607,130,3,288977.66,"False",0,201809,201310,42.901932,2018m9,2005m9,"PR",104.9969,0,0,1,1,59,43.62742
"Modified_203989","S","P","P","C1","F","False",1,165000,99.917572,0,99.917572,164864,0,529,527,606,7,200509,"PR",201508,119,3,153040.44,"True",0,201609,201310,28.123285,2016m9,2005m9,"PR",110.9791,0,0,1,1,35,37.93301
"198004","S","S","P","C1","F","False",1,143000,58.041958,0,58.041958,83000,0,360,360,613,6.375,200509,"PR",201708,143,3,69557.063,"False",0,201812,201409,2.2385364,2018m12,2005m9,"PR",58.96943,0,0,1,0,51,30.05317
"Modified_207765","S","P","P","C1","F","False",1,150000,87.914001,0,87.914001,131871,0,484,360,617,4.5,200509,"PR",201706,141,3,120297.77,"True",0,201808,201504,50.123123,2018m8,2005m9,"PR",103.8181,0,0,1,1,40,37.19737
